frame_idx,time_sec,pose_detected,image_w,image_h,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_h_px,bbox_w_px,bbox_area_norm,is_clipped,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,True,848,480,0.5423686504364014,0.498048335313797,0.729446530342102,0.8822477459907532,184.41571712493896,158.64204216003418,0.07187521121046458,False,0.7211311459541321,0.5463491678237915,-0.036257002502679825,0.9941743016242981,0.7293438911437988,0.5366528034210205,-0.026175234466791153,0.9946887493133545,0.7293821573257446,0.5347651839256287,-0.0262516587972641,0.995373547077179,0.729446530342102,0.5323420166969299,-0.02632296271622181,0.9958945512771606,0.7291238307952881,0.535435676574707,-0.055695779621601105,0.9955779314041138,0.728933572769165,0.5329004526138306,-0.055745285004377365,0.9963358640670776,0.7287639379501343,0.5300294756889343,-0.05579356476664543,0.9969220757484436,0.7241451144218445,0.5095152258872986,0.02550445683300495,0.9897096753120422,0.723822832107544,0.5109107494354248,-0.10812778025865555,0.9958789348602295,0.7124908566474915,0.5427669882774353,-0.01406071987003088,0.9914472103118896,0.7123332023620605,0.5403371453285217,-0.053131233900785446,0.9958308339118958,0.6757441759109497,0.498048335313797,0.1135057657957077,0.9971151351928711,0.6794809103012085,0.5048455595970154,-0.17442481219768524,0.9997804760932922,0.6627467274665833,0.5920689105987549,0.14701388776302338,0.14355075359344482,0.6633951663970947,0.61127769947052,-0.20794236660003662,0.9713894128799438,0.6610990762710571,0.6906329393386841,0.07992452383041382,0.14638575911521912,0.6647326350212097,0.7072283029556274,-0.15391428768634796,0.9209468364715576,0.6720322370529175,0.7060033082962036,0.08295749872922897,0.1474984884262085,0.6756995320320129,0.7241896390914917,-0.1760314553976059,0.892722487449646,0.6766392588615417,0.706100344657898,0.056934598833322525,0.16388262808322906,0.6796382069587708,0.7199314832687378,-0.15804290771484375,0.887407660484314,0.6718752980232239,0.7038881778717041,0.06614387780427933,0.16107618808746338,0.6756826639175415,0.7154902219772339,-0.14550653100013733,0.8181065917015076,0.584522008895874,0.5494164228439331,0.09089509397745132,0.9875998497009277,0.5824687480926514,0.5564342737197876,-0.09065935760736465,0.9929867386817932,0.5685170292854309,0.7088757157325745,0.10782593488693237,0.1884196549654007,0.5697624683380127,0.7111838459968567,-0.07507316768169403,0.9615318775177002,0.5530889630317688,0.8450273871421814,0.15963010489940643,0.3673917353153229,0.5552414059638977,0.8592003583908081,-0.038078423589468,0.9800209403038025,0.5423686504364014,0.8665092587471008,0.16241861879825592,0.4614500403404236,0.5426121950149536,0.8801605105400085,-0.037458229809999466,0.9771777987480164,0.5864646434783936,0.8713940382003784,0.12272407114505768,0.4773349463939667,0.5933883786201477,0.8822477459907532,-0.09173673391342163,0.9660748839378357
1,0.03343023255813953,True,848,480,0.5427783131599426,0.49805647134780884,0.7301222681999207,0.8821415305137634,184.3608283996582,158.86767387390137,0.0719560140559139,False,0.7226313948631287,0.5463427901268005,-0.03423047810792923,0.9943369626998901,0.7300549745559692,0.5364179015159607,-0.023794332519173622,0.9948846697807312,0.7300779223442078,0.5344088673591614,-0.02387016825377941,0.9955644607543945,0.7301222681999207,0.5318718552589417,-0.02394801564514637,0.9960591197013855,0.7299529314041138,0.5353888869285583,-0.054049402475357056,0.9956662654876709,0.729866087436676,0.5328899621963501,-0.05410182103514671,0.9964059591293335,0.7298264503479004,0.5300301909446716,-0.054145198315382004,0.9969815015792847,0.7247668504714966,0.5094856023788452,0.029068684205412865,0.9902016520500183,0.7249118685722351,0.5108963847160339,-0.10750583559274673,0.9960519075393677,0.7135487794876099,0.5427150130271912,-0.011274845339357853,0.991870641708374,0.7133404016494751,0.5403636693954468,-0.05127982050180435,0.9959851503372192,0.6757412552833557,0.49805647134780884,0.12025792896747589,0.9972937107086182,0.6795973181724548,0.5041530132293701,-0.17377720773220062,0.9997929334640503,0.6597376465797424,0.5934519171714783,0.1526966094970703,0.14385297894477844,0.6630405187606812,0.6102070212364197,-0.19944266974925995,0.9711132049560547,0.6611199378967285,0.6934977173805237,0.08553999662399292,0.14911724627017975,0.6672429442405701,0.7073389291763306,-0.1383800208568573,0.9223852753639221,0.6717920303344727,0.7069469094276428,0.08764517307281494,0.15008626878261566,0.6778020262718201,0.7240636944770813,-0.16170895099639893,0.8950828909873962,0.6763348579406738,0.7078955173492432,0.061238761991262436,0.16666331887245178,0.6808704137802124,0.7199132442474365,-0.14325940608978271,0.8898196220397949,0.6717089414596558,0.7052331566810608,0.0715065449476242,0.16429534554481506,0.6769015192985535,0.7154947519302368,-0.12977179884910583,0.8216204047203064,0.5838412642478943,0.5497925877571106,0.09122008085250854,0.9880728125572205,0.5826908946037292,0.5564146041870117,-0.09099360555410385,0.9932540655136108,0.5679929852485657,0.7099955677986145,0.1358146369457245,0.18985030055046082,0.5698310136795044,0.7123240828514099,-0.05143432691693306,0.9618337750434875,0.5529443621635437,0.8450487852096558,0.2195778787136078,0.37010395526885986,0.5612629652023315,0.8592425584793091,0.012751976028084755,0.9794964790344238,0.5427783131599426,0.8677321076393127,0.22639282047748566,0.46790367364883423,0.5468621253967285,0.8805121779441833,0.016717253252863884,0.9769018292427063,0.5897582769393921,0.8778833746910095,0.18982650339603424,0.4763718545436859,0.6011252403259277,0.8821415305137634,-0.03512846678495407,0.9650919437408447
2,0.06686046511627906,True,848,480,0.5429522395133972,0.49800029397010803,0.7301172018051147,0.8821414113044739,184.3877363204956,158.71588802337646,0.07189775774058482,False,0.7226763367652893,0.5463449358940125,-0.028405025601387024,0.994442880153656,0.7300466299057007,0.5364178419113159,-0.0176251120865345,0.9950324296951294,0.7300704121589661,0.5344011187553406,-0.01769898645579815,0.9957147836685181,0.7301172018051147,0.5318466424942017,-0.01777888834476471,0.996185302734375,0.7299461364746094,0.5354213118553162,-0.04824071004986763,0.9957200884819031,0.7298732399940491,0.5329569578170776,-0.04829319193959236,0.9964555501937866,0.7298635244369507,0.5301306843757629,-0.048332709819078445,0.9970248341560364,0.7248480319976807,0.5095006823539734,0.03589879721403122,0.9906008243560791,0.7251256108283997,0.51090008020401,-0.10238345712423325,0.9961894154548645,0.7135372757911682,0.5426457524299622,-0.00512563344091177,0.9922069311141968,0.713338315486908,0.5403640270233154,-0.045589663088321686,0.9961069226264954,0.6757426261901855,0.49800029397010803,0.1269971877336502,0.9974582195281982,0.6797288656234741,0.503526508808136,-0.16939212381839752,0.9998055696487427,0.6585693955421448,0.5946405529975891,0.15885937213897705,0.1432868391275406,0.662903904914856,0.6094859838485718,-0.1941540539264679,0.9705959558486938,0.6611500382423401,0.695601224899292,0.09372054040431976,0.15052199363708496,0.6682767868041992,0.707464337348938,-0.13619475066661835,0.9236583113670349,0.6716395616531372,0.7080600261688232,0.09624645859003067,0.15147913992404938,0.6786534786224365,0.7240005135536194,-0.1598280370235443,0.8972597122192383,0.6761568784713745,0.7095385193824768,0.06981043517589569,0.16824506223201752,0.681572675704956,0.7199016213417053,-0.14109794795513153,0.8920908570289612,0.6716011166572571,0.7067520618438721,0.0797465518116951,0.16621904075145721,0.6775808334350586,0.7154982089996338,-0.1275438517332077,0.8247292637825012,0.5834264755249023,0.5501704812049866,0.09178377687931061,0.9883897304534912,0.5828949809074402,0.5564241409301758,-0.09155774861574173,0.9934844970703125,0.5679184794425964,0.7106221914291382,0.13803495466709137,0.18841786682605743,0.57012540102005,0.7130375504493713,-0.055523913353681564,0.9619788527488708,0.5574235916137695,0.8445408940315247,0.219201922416687,0.3688209354877472,0.5602790117263794,0.8586241602897644,0.00013332047092262655,0.978961706161499,0.5429522395133972,0.8685376048088074,0.22575552761554718,0.47008979320526123,0.547107994556427,0.8811255693435669,0.0031182982493191957,0.9766929745674133,0.5908874869346619,0.8800739645957947,0.18975116312503815,0.4727354049682617,0.6020663976669312,0.8821414113044739,-0.04924491047859192,0.9640917778015137
3,0.1002906976744186,True,848,480,0.5430168509483337,0.497983455657959,0.7300760746002197,0.882131814956665,184.3912124633789,158.62622165679932,0.07185849385756171,False,0.722650945186615,0.5463466048240662,-0.027370022609829903,0.9944792985916138,0.7299857139587402,0.5364211201667786,-0.016447804868221283,0.9951018691062927,0.7300178408622742,0.5344017744064331,-0.016522573307156563,0.9957972764968872,0.7300760746002197,0.5318465232849121,-0.01660192385315895,0.9962465763092041,0.7299126386642456,0.5354387760162354,-0.04712056741118431,0.9957056641578674,0.7298630475997925,0.5329902768135071,-0.047172628343105316,0.9964534044265747,0.7298485636711121,0.5301788449287415,-0.04721549153327942,0.9970272183418274,0.7248489856719971,0.5095220804214478,0.03742758184671402,0.9908743500709534,0.7251496911048889,0.510898232460022,-0.10119075328111649,0.9962780475616455,0.7134385108947754,0.5426196455955505,-0.004058105405420065,0.9924548864364624,0.7132366895675659,0.540364146232605,-0.044584766030311584,0.9961901307106018,0.6757428646087646,0.497983455657959,0.12883998453617096,0.9976155757904053,0.6797682046890259,0.5029715895652771,-0.1693195253610611,0.9998182654380798,0.6582478880882263,0.5952640175819397,0.15981438755989075,0.14232675731182098,0.6627763509750366,0.6085866093635559,-0.19576260447502136,0.9699805378913879,0.6611630320549011,0.6961954236030579,0.0929151326417923,0.15062643587589264,0.6682645082473755,0.7073835134506226,-0.1389452964067459,0.924368143081665,0.6714017391204834,0.7086169719696045,0.09496164321899414,0.1515597552061081,0.6785499453544617,0.7236707806587219,-0.1625261902809143,0.8986344933509827,0.6759670972824097,0.7102428078651428,0.06875551491975784,0.1684596985578537,0.6815264821052551,0.7196585536003113,-0.14421117305755615,0.8935955166816711,0.6714547872543335,0.7072231769561768,0.07890775799751282,0.1666572540998459,0.6775447130203247,0.715286135673523,-0.13046959042549133,0.8266826272010803,0.5832532644271851,0.5505649447441101,0.092628613114357,0.9886507987976074,0.5829708576202393,0.5564331412315369,-0.09240774065256119,0.9937025308609009,0.5679312944412231,0.7109907865524292,0.13635803759098053,0.1849372535943985,0.5702831149101257,0.7134916186332703,-0.059227026998996735,0.9609059691429138,0.5570297837257385,0.8448553681373596,0.21378475427627563,0.3630240261554718,0.5577375888824463,0.8580735325813293,-0.003776339115574956,0.9775583148002625,0.5430168509483337,0.8693336844444275,0.21987421810626984,0.46738266944885254,0.5469697713851929,0.8811197280883789,-0.000668599852360785,0.9758456945419312,0.5907630324363708,0.8744767308235168,0.1838206648826599,0.4646637439727783,0.6011577248573303,0.882131814956665,-0.05207676813006401,0.9619004726409912
4,0.13372093023255813,True,848,480,0.543205201625824,0.4982277452945709,0.7301168441772461,0.8821306228637695,184.27338123321533,158.50107288360596,0.07175591742667642,False,0.7227765917778015,0.5463272929191589,-0.027386555448174477,0.9945169687271118,0.7300220131874084,0.5363848209381104,-0.016465172171592712,0.9951640367507935,0.7300558090209961,0.5343554615974426,-0.016540905460715294,0.9958686828613281,0.7301168441772461,0.5317938923835754,-0.016619479283690453,0.9963005781173706,0.7299558520317078,0.5354180932044983,-0.047026779502630234,0.9957019090652466,0.7299178242683411,0.5329798460006714,-0.04707789048552513,0.9964548945426941,0.729924738407135,0.5301757454872131,-0.04712165892124176,0.9970329999923706,0.7249810695648193,0.5095179080963135,0.03733351454138756,0.9911066293716431,0.7253201603889465,0.5108896493911743,-0.10079397261142731,0.9963534474372864,0.7135398983955383,0.5426006317138672,-0.004166997503489256,0.9926719665527344,0.713333249092102,0.5403643250465393,-0.04454413428902626,0.9962645769119263,0.6758571267127991,0.4982277452945709,0.1282006800174713,0.9977503418922424,0.6797770261764526,0.5025476813316345,-0.16907502710819244,0.999829113483429,0.6584095358848572,0.5955687165260315,0.15860454738140106,0.1413535326719284,0.6626847982406616,0.6077748537063599,-0.1966782510280609,0.9690740704536438,0.6612915396690369,0.6969140768051147,0.09130698442459106,0.1510961353778839,0.6681515574455261,0.7071956396102905,-0.14084076881408691,0.9247373938560486,0.6713976860046387,0.7095546126365662,0.09339293837547302,0.15211550891399384,0.6784543395042419,0.7230950593948364,-0.1635550856590271,0.899727463722229,0.6759654879570007,0.7109054923057556,0.06722457706928253,0.16915273666381836,0.681489884853363,0.719298779964447,-0.14490129053592682,0.8947679996490479,0.671455979347229,0.7078103423118591,0.07731117308139801,0.16758346557617188,0.6775088310241699,0.71502685546875,-0.1322975754737854,0.8280873894691467,0.5832674503326416,0.5513584017753601,0.09275452047586441,0.9889078140258789,0.5831313729286194,0.5564559698104858,-0.09253667294979095,0.9939127564430237,0.568010687828064,0.7112598419189453,0.13463063538074493,0.18441316485404968,0.5704043507575989,0.7137443423271179,-0.06116217002272606,0.9606791734695435,0.5569527745246887,0.8454267978668213,0.2102455496788025,0.361107736825943,0.5566071271896362,0.8577718138694763,-0.0072497474029660225,0.9767730832099915,0.543205201625824,0.869907796382904,0.21615825593471527,0.4682252109050751,0.5469138026237488,0.881020188331604,-0.004306464456021786,0.9753238558769226,0.5907238721847534,0.8726047873497009,0.1804751753807068,0.45987096428871155,0.6008202433586121,0.8821306228637695,-0.05577601119875908,0.9604012966156006
5,0.16715116279069767,True,848,480,0.5427819490432739,0.4982718825340271,0.7301316261291504,0.8819993138313293,184.18916702270508,158.87252616882324,0.07189121034254242,False,0.7229062914848328,0.546079695224762,-0.026399334892630577,0.9946019053459167,0.7300391793251038,0.5361422300338745,-0.015517279505729675,0.9952622652053833,0.7300721406936646,0.534105658531189,-0.015593040734529495,0.9959788918495178,0.7301316261291504,0.5315508842468262,-0.015670090913772583,0.9963844418525696,0.7299821376800537,0.535213053226471,-0.045872125774621964,0.9957386255264282,0.7299545407295227,0.5328131318092346,-0.04592262953519821,0.9964982867240906,0.7299752235412598,0.5300498604774475,-0.045965906232595444,0.9970646500587463,0.7250758409500122,0.5094296336174011,0.03808533400297165,0.9913861751556396,0.7254462838172913,0.5107791423797607,-0.09905993193387985,0.9964478015899658,0.7136930227279663,0.5423058271408081,-0.003240590915083885,0.9928926825523376,0.7135099172592163,0.5401768088340759,-0.04336957633495331,0.9963496923446655,0.675940215587616,0.4982718825340271,0.12804155051708221,0.9978681802749634,0.6797904372215271,0.5019212961196899,-0.1663568764925003,0.999838650226593,0.6585218906402588,0.5955286026000977,0.1581963747739792,0.14061860740184784,0.6626462340354919,0.6070843935012817,-0.19474142789840698,0.9683917164802551,0.6614192128181458,0.6968545913696289,0.09240053594112396,0.15260164439678192,0.6680832505226135,0.7070079445838928,-0.14189784228801727,0.9254825711250305,0.6714013814926147,0.7095996737480164,0.09489917755126953,0.15380026400089264,0.6783961653709412,0.7225514650344849,-0.16472604870796204,0.901235818862915,0.6759824752807617,0.7108471393585205,0.06867066770792007,0.17103347182273865,0.6814733743667603,0.7188645601272583,-0.1463387906551361,0.896317183971405,0.6714679598808289,0.7078202962875366,0.07848966121673584,0.16963936388492584,0.6774834394454956,0.7147302031517029,-0.13339000940322876,0.8299736976623535,0.5833346247673035,0.5518679022789001,0.0927356630563736,0.9892504811286926,0.5832704305648804,0.5564625859260559,-0.09251655638217926,0.9941627383232117,0.5682058334350586,0.7112859487533569,0.1357828974723816,0.18708491325378418,0.5706262588500977,0.7137858271598816,-0.06193680688738823,0.961820125579834,0.5552475452423096,0.845463752746582,0.2132353037595749,0.3651810884475708,0.555493950843811,0.8573977947235107,-0.009551215916872025,0.9770578742027283,0.5427819490432739,0.8698680400848389,0.21944212913513184,0.4742177128791809,0.5464029312133789,0.8808616995811462,-0.006838999688625336,0.9756619334220886,0.5866031646728516,0.8784936666488647,0.1846894472837448,0.4611526131629944,0.5977345108985901,0.8819993138313293,-0.05814111605286598,0.9604607224464417
6,0.2005813953488372,True,848,480,0.5422710180282593,0.4984208047389984,0.7301421761512756,0.8819037675857544,184.07182216644287,159.31474208831787,0.0720453883504657,False,0.7229763865470886,0.546016275882721,-0.025467637926340103,0.9947365522384644,0.7300522327423096,0.536091685295105,-0.01452801562845707,0.9953934550285339,0.7300843000411987,0.534054160118103,-0.01460241712629795,0.9961150884628296,0.7301421761512756,0.5315057635307312,-0.014677297323942184,0.9964907765388489,0.7300001382827759,0.5351685881614685,-0.04490484669804573,0.9958207607269287,0.7299786806106567,0.5327789783477783,-0.044954411685466766,0.9965824484825134,0.7300063371658325,0.5300266146659851,-0.04499726742506027,0.9971278309822083,0.7251187562942505,0.5093902349472046,0.0392766147851944,0.9916990399360657,0.7255071401596069,0.510723888874054,-0.09805078059434891,0.9965700507164001,0.713787317276001,0.5422535538673401,-0.002233213745057583,0.9931473731994629,0.7136112451553345,0.5401663184165955,-0.042429953813552856,0.9964640736579895,0.6760172843933105,0.4984208047389984,0.12874402105808258,0.997978150844574,0.679815411567688,0.5015612840652466,-0.16507549583911896,0.9998477697372437,0.6586324572563171,0.5955556035041809,0.15923701226711273,0.14085344970226288,0.6626473665237427,0.6064348816871643,-0.19456830620765686,0.9679975509643555,0.6615936756134033,0.696845293045044,0.09483671933412552,0.15569347143173218,0.6680247187614441,0.7069631218910217,-0.1431359201669693,0.9266703128814697,0.6715652942657471,0.7095949649810791,0.09773942828178406,0.15693826973438263,0.6783538460731506,0.7222692370414734,-0.1674780547618866,0.9031533598899841,0.6761269569396973,0.7108243703842163,0.07131029665470123,0.17450973391532898,0.6814814805984497,0.7186886072158813,-0.14820128679275513,0.8982815146446228,0.671556293964386,0.7078445553779602,0.08092887699604034,0.17316216230392456,0.6774721145629883,0.7146041989326477,-0.1344674825668335,0.8323559761047363,0.5833462476730347,0.5522977709770203,0.09271425753831863,0.989608645439148,0.5833531618118286,0.5564688444137573,-0.09249506145715714,0.9944071173667908,0.5682690143585205,0.711264431476593,0.13601717352867126,0.1918685883283615,0.5708025693893433,0.7136768698692322,-0.062451064586639404,0.9633204340934753,0.5536244511604309,0.8449363112449646,0.21308116614818573,0.37224093079566956,0.554997980594635,0.8562180399894714,-0.011050652712583542,0.9776603579521179,0.5422710180282593,0.8693972826004028,0.21928603947162628,0.48281940817832947,0.5460267066955566,0.8804981708526611,-0.008452890440821648,0.9762706160545349,0.5835537314414978,0.8797107338905334,0.1843813806772232,0.464982271194458,0.5961117148399353,0.8819037675857544,-0.05990156531333923,0.9609885811805725
7,0.23401162790697674,True,848,480,0.5419976115226746,0.4985154867172241,0.7301421165466309,0.8818060755729675,183.97948265075684,159.54654026031494,0.07211401812060458,False,0.7230194211006165,0.5460181832313538,-0.026164930313825607,0.994813859462738,0.7300530672073364,0.5360978245735168,-0.015317625366151333,0.9954786896705627,0.7300848364830017,0.5340580344200134,-0.0153924860060215,0.9962105751037598,0.7301421165466309,0.5315085053443909,-0.015467485412955284,0.9965647459030151,0.7300015687942505,0.5351740121841431,-0.04561559110879898,0.995857298374176,0.7299811244010925,0.532783567905426,-0.045665193349123,0.9966244101524353,0.7300099730491638,0.5300304293632507,-0.045708589255809784,0.9971558451652527,0.7251338362693787,0.5093695521354675,0.03824060782790184,0.9919443130493164,0.725526750087738,0.5106908082962036,-0.09869949519634247,0.9966500401496887,0.7138927578926086,0.542266309261322,-0.0030287725385278463,0.9933359622955322,0.7137205004692078,0.5402179956436157,-0.04311412200331688,0.9965379238128662,0.676033079624176,0.4985154867172241,0.12769855558872223,0.9980695247650146,0.6798174381256104,0.5012577772140503,-0.16532103717327118,0.9998545050621033,0.6587038040161133,0.5955922603607178,0.15890656411647797,0.1411362886428833,0.6626473069190979,0.6059461236000061,-0.19468869268894196,0.9672355055809021,0.6616604924201965,0.6969510912895203,0.09354154020547867,0.1577463299036026,0.6679773330688477,0.7069270014762878,-0.14319643378257751,0.9269548654556274,0.6715789437294006,0.7096415758132935,0.09633604437112808,0.1589745432138443,0.678320050239563,0.7220779657363892,-0.1680396944284439,0.9039784073829651,0.6761586666107178,0.7108433842658997,0.06998570263385773,0.1767621636390686,0.6814825534820557,0.7186024785041809,-0.148269921541214,0.8990795612335205,0.6715574264526367,0.707908034324646,0.07963497191667557,0.1755160391330719,0.6774587035179138,0.7145613431930542,-0.13463637232780457,0.833127498626709,0.5833533406257629,0.5524318814277649,0.09253007173538208,0.989913821220398,0.5834144949913025,0.5564614534378052,-0.0923166275024414,0.9945931434631348,0.5685405135154724,0.7112273573875427,0.13618966937065125,0.19465433061122894,0.5714852213859558,0.713513195514679,-0.060100845992565155,0.9642335176467896,0.5528748035430908,0.8443892002105713,0.21431517601013184,0.37622570991516113,0.5549841523170471,0.8556979298591614,-0.00443850364536047,0.9778685569763184,0.5419976115226746,0.8689131140708923,0.2206987887620926,0.48836755752563477,0.5458871722221375,0.8803032040596008,-0.0012189970584586263,0.9765518307685852,0.5823254585266113,0.8793391585350037,0.18601657450199127,0.46639665961265564,0.595527172088623,0.8818060755729675,-0.05113230273127556,0.9609639644622803
8,0.26744186046511625,True,848,480,0.5416924953460693,0.49868136644363403,0.7300876975059509,0.8817229866981506,183.85997772216797,159.7591314315796,0.07216320348349825,False,0.7230124473571777,0.5460399389266968,-0.02651371620595455,0.9947974681854248,0.7299928665161133,0.5361385941505432,-0.015790510922670364,0.9954794049263,0.7300271987915039,0.5340982675552368,-0.015865493565797806,0.996237576007843,0.7300876975059509,0.531549334526062,-0.015940584242343903,0.9965702891349792,0.7299448847770691,0.5351982712745667,-0.04595156013965607,0.9958232045173645,0.7299320101737976,0.532800018787384,-0.0460013821721077,0.9966174364089966,0.7299703359603882,0.5300395488739014,-0.04604395851492882,0.99714195728302,0.72511887550354,0.5093718767166138,0.03777400404214859,0.9920350313186646,0.7255155444145203,0.5106781721115112,-0.09886141866445541,0.9966843128204346,0.7138896584510803,0.5423159003257751,-0.0035144751891493797,0.9934300184249878,0.7137188911437988,0.5402934551239014,-0.04341629147529602,0.9965721964836121,0.676019549369812,0.49868136644363403,0.12728150188922882,0.9981478452682495,0.6797629594802856,0.500885546207428,-0.16538845002651215,0.9998608827590942,0.6587386131286621,0.5955973863601685,0.15831156075000763,0.14115788042545319,0.662632942199707,0.6054114699363708,-0.19602495431900024,0.9664071798324585,0.661755383014679,0.6971736550331116,0.09279831498861313,0.1594161093235016,0.6679673790931702,0.7069255709648132,-0.14979234337806702,0.9272375702857971,0.6715916395187378,0.7097940444946289,0.09557337313890457,0.16065151989459991,0.6782920360565186,0.7220338582992554,-0.17544497549533844,0.9047943949699402,0.6761997938156128,0.7109499573707581,0.06930024921894073,0.17869578301906586,0.6815169453620911,0.7186011075973511,-0.1560555249452591,0.8999045491218567,0.6715778708457947,0.708051860332489,0.07890079915523529,0.1774720400571823,0.677479088306427,0.7145624756813049,-0.1412721425294876,0.8337333798408508,0.5833522081375122,0.5526531934738159,0.0925275906920433,0.9900948405265808,0.5834395885467529,0.556463360786438,-0.09231489896774292,0.9947292804718018,0.5687974095344543,0.711223304271698,0.13582608103752136,0.19637779891490936,0.5718443989753723,0.7134227156639099,-0.06077506020665169,0.9647459387779236,0.5524085164070129,0.8441836833953857,0.21399269998073578,0.3785126507282257,0.5548288226127625,0.8556833267211914,-0.006019034422934055,0.9779420495033264,0.5416924953460693,0.8687577843666077,0.2203582227230072,0.49228060245513916,0.5452726483345032,0.8803004622459412,-0.002971659181639552,0.9767454266548157,0.5813022255897522,0.8796396851539612,0.18483217060565948,0.4661550223827362,0.5947661399841309,0.8817229866981506,-0.05400465056300163,0.9606693387031555
9,0.3008720930232558,True,848,480,0.5414468050003052,0.4986811578273773,0.7300863265991211,0.8817199468612671,183.8586187362671,159.9663143157959,0.07225625391714274,False,0.7230055928230286,0.5460323691368103,-0.026730798184871674,0.9948685765266418,0.7299912571907043,0.5361377596855164,-0.015840847045183182,0.9955548048019409,0.7300256490707397,0.5340976119041443,-0.015915026888251305,0.9963200688362122,0.7300863265991211,0.5315493941307068,-0.015988849103450775,0.9966285228729248,0.7299431562423706,0.535197913646698,-0.04617755487561226,0.995869517326355,0.7299298644065857,0.5328000783920288,-0.04622753709554672,0.9966701865196228,0.7299673557281494,0.5300402045249939,-0.04627104476094246,0.9971790909767151,0.7251192927360535,0.5093709230422974,0.03741251304745674,0.9922206997871399,0.7255111336708069,0.5106754899024963,-0.09911225736141205,0.9967656135559082,0.7139071822166443,0.5423145890235901,-0.0035711920354515314,0.9935987591743469,0.7137323617935181,0.5403010845184326,-0.04365425184369087,0.9966550469398499,0.676021158695221,0.4986811578273773,0.12688784301280975,0.9982199668884277,0.6797641515731812,0.5007377862930298,-0.16560739278793335,0.9998672008514404,0.6587719321250916,0.5955855846405029,0.1580388993024826,0.1410348117351532,0.6626327633857727,0.6049938797950745,-0.19611482322216034,0.9657770395278931,0.6619092226028442,0.697256326675415,0.0924098864197731,0.16067014634609222,0.6679418087005615,0.7069318294525146,-0.1506710648536682,0.9273685216903687,0.6718123555183411,0.7098366022109985,0.09512316435575485,0.1617618054151535,0.6782851219177246,0.7220240831375122,-0.17598123848438263,0.9053712487220764,0.6763908267021179,0.7109736800193787,0.0688592866063118,0.1799747496843338,0.6815341114997864,0.7185920476913452,-0.15675845742225647,0.9004732966423035,0.6716967821121216,0.7081059813499451,0.07851209491491318,0.17879466712474823,0.6774721145629883,0.714561402797699,-0.14213605225086212,0.8341390490531921,0.5833510756492615,0.5527676343917847,0.09251859039068222,0.9902483224868774,0.5834742188453674,0.556518018245697,-0.09230581670999527,0.9948642253875732,0.5688031315803528,0.711125373840332,0.13560372591018677,0.19726890325546265,0.5718310475349426,0.7131470441818237,-0.06085209548473358,0.9654039740562439,0.5523495078086853,0.8444356918334961,0.2133421152830124,0.3803423345088959,0.5547463297843933,0.8558853268623352,-0.0072016846388578415,0.9781643748283386,0.5414468050003052,0.8687489032745361,0.21958985924720764,0.49484017491340637,0.544520914554596,0.8802982568740845,-0.004420814570039511,0.9770023226737976,0.5828662514686584,0.8739020824432373,0.18379823863506317,0.46690627932548523,0.5941715240478516,0.8817199468612671,-0.057236846536397934,0.9607880711555481
